Index	p	result_a0	result_a1	sample_a0	sample_a1
0	-39	-913217959	531024507	-491396131	-774635435
1	-47	-1631134219	-454822231	-1955872250	-1280170623
2	177	-1096528070	-1541012553	1304548415	938192022
3	428	1641656101	-1260758624	916080877	54062989
4	-150	-1624941644	904012338	1536407073	1247405341
5	424	1858312253	1992655350	997612485	1142437852
6	-130	-135282838	62218226	493235048	594710616
7	426	-295269077	-1131738535	-766175359	1298364669
8	393	-2018956994	709280064	451871868	-1462997321
9	-482	148374241	-382986143	935130654	-537587313
10	-129	131626021	1103977759	426730350	-33187802
11	72	-1605212855	-490282692	-269769543	-1068614192
12	24	1629435588	-1503184688	-1221012735	-1866107294
13	-72	1890229823	827144661	1995739527	673069625
14	131	435841368	262602929	1043853506	-1043393845
15	430	930759737	-1768017370	1544776631	468607443
16	-265	-1975767817	-1888747170	-50762359	-186379394
17	185	-2045549592	-187007764	-826386158	1541022543
18	379	1217754320	1786275706	1906163329	1145810367
19	402	301930194	1331814717	1140072989	2141748232
20	215	-1041920879	180681132	1480564692	1959876106
21	-327	-1255123503	2102741502	393336417	-1590136845
22	-192	1436959287	756105955	1466627083	27394634
23	448	778670500	-1004426756	1982765757	1439817155
24	-179	-776010814	-1240005610	1049684998	-822564548
25	286	-2131903147	316825549	-1549200621	-1978478333
26	441	1806528043	-674043217	400969547	-1857351290
27	-241	1620034059	1774004187	-601809308	1045248813
28	-63	1429840339	1936285606	-2137205588	-335318850
29	-92	-1239459824	-851429926	881199595	1114050106
30	-315	2050250453	-1509024160	72085137	731632039
31	37	-2063774906	-1627098769	-271462382	424931717
32	98	-1134731417	-849905345	2084605991	1787831967
33	360	-2081382571	1537009962	560278461	1615957547
34	221	1297573905	1806752307	-1229504114	814833443
35	165	730324740	430390704	1276877153	24528804
36	133	711700250	-1739518918	-363404417	-1528816959
37	157	586699692	1636789174	-116033562	-162242900
38	177	295819034	-238992815	855670293	2081811838
39	371	-1637750829	-1735922149	2016025799	-249921113
40	-511	-1429568332	-51166062	-355123329	485938615
41	-80	-256814620	-44278046	-1669978248	1803470389
42	-294	-291058131	1492026644	-1559168388	-925012194
43	-491	1354476833	848562405	349630850	1263221221
44	-365	-668702021	886463338	150814551	-1168636035
45	-79	1062468386	1647169040	-315770067	-1852800950
46	334	-685992373	-757556338	-2082471065	-2091232179
47	411	436181316	2129622509	490236859	-470555276
48	-393	-458965445	948702710	-1223984500	-1208580707
49	419	798586673	400552756	883810453	1373454884
50	100	-674572287	465717096	-1030699489	-1000121320
51	-170	1694325903	-1408565649	514803091	1163119483
52	5	-2104047851	-911514882	-1473134063	1981141639
53	-359	-835789421	282286919	-898886383	-1175877712
54	342	1106526674	721298725	1653901925	1643469200
55	-461	1565557205	-1254077782	-1256625424	470080060
56	-440	1589594752	684939077	-1147514064	198329868
57	-262	-937730585	207085610	-1242663173	-437603362
58	462	75604403	1490683754	171126173	-534260495
59	353	1928077818	-1973108425	-677663851	-445939354
60	-173	-491446322	743999964	425105984	954892657
61	-384	593122620	-1396050690	-1596874033	-710553031
62	137	639219331	-1956578961	-2106685502	-649167753
63	-378	1374874875	1401134918	-2111578252	-1736292468
64	-390	-1336947069	1489026606	-1065619448	1444842914
65	-205	-1116768472	47137132	-1995412128	524472096
66	202	-363275515	-574891056	-1048171617	662692879
67	308	1342271031	754721532	361742734	968146582
68	-426	-781288315	1812846572	-1069800969	166722249
69	128	-536792257	464568549	101789905	-919525663
70	39	1255408821	-1527642606	759385396	-94876210
71	471	-1452400248	-1808045690	-574074423	-1627312283
72	-300	-518155329	-1447390542	-1219574918	-1128841837
73	470	753079101	158185927	-1987555744	45873699
74	-407	-1415883085	-551544456	1902821728	475065066
75	-38	133658350	-1593961521	-587356397	-673963670
76	221	-732281896	470485926	-107468390	934309107
77	-238	-1400743357	-1372672651	-716830976	-1882796480
78	239	-197806317	-1216516520	-1721879208	1027062705
79	25	2142375799	-910171136	-1934921991	-820097979
80	207	-521866806	-530992707	724484009	1409536210
81	-49	-1778093935	1204127946	-1109031189	-541347882
82	-134	1196376576	-754629589	-686701242	526617701
83	179	-378104148	563515527	1664794698	256742003
84	276	213808707	1476771980	-682891664	1408499921
85	-486	-1854596361	36864574	513483332	291400248
86	-226	-1957307572	1680984176	1785364581	1493477161
87	268	-1027929993	1216575209	-834019273	-564883905
88	-335	912240756	1335218904	1769277515	-1282721744
89	92	-410528506	1831089965	-1440637264	-1641016698
90	336	2078800214	1277492145	-2061814254	37429100
91	509	-1008140552	164772245	1567369338	1940521241
92	-359	-659772112	1249259934	-201758972	-1746044128
93	-333	-1068560669	87577454	1702440750	802786570
94	21	568768219	-105447844	1265411655	-1069267271
95	25	-913078773	1987349775	1253908689	1879654343
96	-431	-1188968154	-1792003136	1888004680	765439641
97	-406	-1557475098	301532967	-2135114702	-1976381333
98	-506	-533510070	-127351784	-1775315816	1215798548
99	194	728403662	-1131316821	1509926336	-1888932371
100	-300	1655071114	464813492	-233713628	116142526
101	-390	1176011284	-725587543	-852997015	-2007065310
102	111	-1934717677	-480329080	-821944259	-787877790
103	-246	-12290383	-1048585733	-1165564332	532107063
104	389	672698217	1761668443	263578110	1009124197
105	366	-949245390	-1644126250	-1811674216	-63048728
106	24	894836980	133490429	-2030594442	354563440
107	20	2130533224	-1482454048	-1299105503	-893582379
108	204	-339789980	-1288973212	1253854109	-1503001266
109	449	915134300	786938635	-973467573	-1125684338
110	-263	-1847499101	1451167287	-254349344	-1802897118
111	206	1527290259	-325842556	295601689	76238662
112	-256	-1823634591	426129129	1582818881	-1652645909
113	-161	782100186	822830526	-117304099	802849262
114	162	1458823616	17429021	-1357362963	-439785849
115	262	41362365	1274549202	1866906853	1860792346
116	-103	-1222966287	1019175424	-1057522811	1611329393
117	222	-2140320235	-18383784	1703366720	-1869166269
118	284	-1652776169	-1713472015	-1846635499	-406509012
119	361	575245137	145965715	468073047	-1734413315
120	27	-102227242	-1249990229	-673395770	-570731039
121	-335	-200690947	-1275950030	1323614009	-1645200333
122	133	90482340	1273896377	-1087094234	-1806484823
123	-398	-875044282	-861747321	171754052	-1764083393
124	174	600669698	-484706461	-1075202710	-1100462898
125	-82	1567210617	-912770664	-34064752	-1961417727
126	254	-1244775953	424468228	282072141	-274951485
127	332	643419245	890550800	1972594038	90062919
128	232	-1314553302	1832122151	-2023938519	1198530984
129	-90	-431747067	-1992021556	299784730	-13153270
130	251	74056995	-728556692	-648734072	989122076
131	196	-1526005656	-1145609834	-1693798060	-590760009
132	356	826420139	-357823708	529607674	-828580962
133	427	1887325107	-451031772	1983676853	-1088788565
134	28	1642116992	753998997	703568139	434397729
135	403	1976782827	-340725917	443835696	-1465612366
136	-259	1426800029	-118440152	312321646	-36920668
137	204	2014112716	564394339	1929914192	1121195900
138	288	-1518057212	681777225	-1038524762	-1409888821
139	-272	-712602453	-1719707067	-1851802139	-2072974713
140	-198	-2097746574	1837972565	-386049936	-674595787
141	267	1659190000	-2096487564	1221541716	-782711006
142	220	49791992	-488320838	-339600683	-184937330
143	6	107192048	-553504155	-924820237	1415174850
144	-124	1819553130	1349405021	-304820741	1393451098
145	-253	78531297	379162237	454782548	494285465
146	186	-1577073227	60262994	-333618680	1891886793
147	-215	263056174	-1418073979	-1453474376	-579099927
148	509	790725748	-1743383484	1548908706	1365448981
149	-6	1146369904	1366107821	-821311283	1817674915
150	-445	562536512	1705107210	-600802528	-256341209
151	452	-1900957753	1947228455	181452954	-1728795805
152	-380	-1620379948	-1606647768	-825026596	-1044711940
153	418	-1273101257	-243959993	-717366977	1888117694
154	-152	1021876727	-1822375228	1764256524	-2026173073
155	375	-214776691	-1085254903	1836864027	-1838991257
156	-411	167534175	-657085362	-676588972	1520563681
157	137	1749473156	-811711364	-748292122	-1891939042
158	-367	-1157876942	-1274736055	1396378194	-74578023
159	460	-639269542	364455330	955034197	-1699756537
160	371	648346287	861101754	577841155	1277666291
161	419	-350939636	-73168002	1763955630	-1536659113
162	-21	245790952	-931959699	746247780	-585727795
163	-337	1867233840	209808846	1680538010	1845924684
164	356	-685454107	375113968	258839543	-513566386
165	-504	-2098797870	-711834380	1975482488	2100795306
166	116	2092409256	902820049	-1912088906	-397577316
167	-342	-1246768334	24848971	-354873683	781913691
168	-299	-1119581712	94891800	1999385528	1002530134
169	-253	2106986088	-1815697074	1200412656	1468017837
170	252	1897276828	-1398180971	-1991620614	-1664360190
171	63	38094753	496760645	691976496	-1744892207
172	-311	-466644903	-2115271869	269534722	1413844322
173	61	1241207312	603848188	1190299875	-1735119532
174	-93	118684477	1602480937	-1495316647	-652856218
175	-276	1310341058	-740781516	-122320939	939038483
176	-478	-1467233296	1709816474	-1796175942	1719857854
177	-312	-1187092704	1726658083	1581466054	-637924142
178	240	631159380	428695220	-1801149365	-881443447
179	89	1958052535	1352747843	1450640598	746190259
180	-175	990133281	-498710347	-2048241232	-48222086
181	-26	1900028513	1689415937	1394687474	734338471
182	-327	423833552	1306451284	1880235835	-1554851096
183	137	-197047782	1176318071	682969898	1208976735
184	194	1630236656	289401400	-1834171750	-2085084118
185	-164	2035672911	1947520545	-1732170836	-1755021392
186	36	1571131511	1902494297	1738466218	1408574293
187	59	-915574962	1199455219	-845871598	-402702815
188	17	-1621572246	1337231051	-205511177	590645468
189	-301	1607809446	1282931879	1292348864	761941279
190	500	2069292310	-157892718	1018995863	1587414957
191	227	1286291772	-799251813	-1415899929	675915082
